depth,GR
2780.025,63.97
2780.149,65.716
2780.274,69.823
2780.398,74.068
2780.522,76.073
2780.646,75.421
2780.771,74.116
2780.895,74.249
2781.019,75.85
2781.143,77.478
2781.268,78.125
2781.392,77.9
2781.516,77.355
2781.64,76.842
2781.764,76.229
2781.889,75.608
2782.013,75.394
2782.137,76.005
2782.261,77.534
2782.385,79.744
2782.51,81.961
2782.634,82.754
2782.758,81.294
2782.883,79.001
2783.007,77.848
2783.131,78.088
2783.255,78.662
2783.379,78.635
2783.504,77.834
2783.628,76.648
2783.752,75.885
2783.876,76.365
2784,77.954
2784.125,79.06
2784.249,78.416
2784.373,77.069
2784.497,77.231
2784.622,78.727
2784.746,79.523
2784.87,78.713
2784.994,77.037
2785.118,75.334
2785.243,74.425
2785.367,75.574
2785.491,78.563
2785.615,80.913
2785.74,81.604
2785.864,81.831
2785.988,81.82
2786.112,80.928
2786.237,79.527
2786.361,78.39
2786.485,77.109
2786.609,74.799
2786.733,71.938
2786.858,70.064
2786.982,70.45
2787.106,72.869
2787.23,75.165
2787.354,74.96
2787.479,72.109
2787.603,69.414
2787.727,69.782
2787.852,73.503
2787.976,77.945
2788.1,80.311
2788.224,79.519
2788.348,76.835
2788.473,74.273
2788.597,73.308
2788.721,73.896
2788.845,75.036
2788.969,76.031
2789.094,77.335
2789.218,79.061
2789.342,80.191
2789.466,79.885
2789.591,78.75
2789.715,78.743
2789.839,80.786
2789.963,83.227
2790.087,83.426
2790.212,80.825
2790.336,77.451
2790.46,75.033
2790.584,73.322
2790.709,71.747
2790.833,71.167
2790.957,72.354
2791.081,73.979
2791.206,73.936
2791.33,72.328
2791.454,71.732
2791.578,73.313
2791.702,75.272
2791.827,74.95
2791.951,72.364
2792.075,69.952
2792.199,68.889
2792.323,68.12
2792.448,66.349
2792.572,64.159
2792.696,63.084
2792.821,63.436
2792.945,63.95
2793.069,63.597
2793.193,63.01
2793.317,63.337
2793.442,65.03
2793.566,67.668
2793.69,70.152
2793.814,71.403
2793.938,71.243
2794.063,70.48
2794.187,70.203
2794.311,70.485
2794.435,71.344
2794.56,73.277
2794.684,75.322
2794.808,75.437
2794.932,73.278
2795.056,70.806
2795.181,70.043
2795.305,70.641
2795.429,70.969
2795.553,70.405
2795.678,69.678
2795.802,69.558
2795.926,69.737
2796.05,69.223
2796.175,68.189
2796.299,67.9
2796.423,68.47
2796.547,69.095
2796.671,69.655
2796.795,70.21
2796.92,69.894
2797.044,68.177
2797.168,66.175
2797.292,64.842
2797.417,63.226
2797.541,60.732
2797.665,58.914
2797.789,58.979
2797.913,59.869
2798.038,60.288
2798.162,60.562
2798.286,61.363
2798.41,62.706
2798.534,64.346
2798.658,65.611
2798.783,65.964
2798.907,65.732
2799.031,65.771
2799.155,66.048
2799.28,65.508
2799.404,63.781
2799.528,62.066
2799.652,61.685
2799.776,62.82
2799.901,64.566
2800.025,66.023
2800.149,67.396
2800.273,68.866
2800.397,70.198
2800.521,71.473
2800.646,72.341
2800.77,71.515
2800.894,68.146
2801.018,63.72
2801.143,60.851
2801.267,60.4
2801.391,61.468
2801.515,62.879
2801.639,63.495
2801.764,62.775
2801.888,61.479
2802.012,61.528
2802.136,63.958
2802.26,67.598
2802.385,70.7
2802.509,72.039
2802.633,70.644
2802.757,66.756
2802.881,62.572
2803.006,60.846
2803.13,62.089
2803.254,64.351
2803.378,66.275
2803.502,67.827
2803.627,68.369
2803.751,67.064
2803.875,64.668
2803.999,63.074
2804.124,63.257
2804.248,64.019
2804.372,63.995
2804.496,63.11
2804.62,62.346
2804.744,62.573
2804.869,63.291
2804.993,63.179
2805.117,62.14
2805.241,61.355
2805.365,61.898
2805.49,63.743
2805.614,65.626
2805.738,66.637
2805.862,67.121
2805.987,68.009
2806.111,69.105
2806.235,69.303
2806.359,68.324
2806.483,66.997
2806.607,66.342
2806.732,66.886
2806.856,68.508
2806.98,70.179
2807.104,70.864
2807.229,71.105
2807.353,72.124
2807.477,73.779
2807.601,75.263
2807.725,75.874
2807.85,75.048
2807.974,72.734
2808.098,69.839
2808.222,67.834
2808.346,66.95
2808.471,66.051
2808.595,64.801
2808.719,63.756
2808.843,62.896
2808.967,62.322
2809.092,62.558
2809.216,63.12
2809.34,63.191
2809.464,63.229
2809.588,64.577
2809.713,67.344
2809.837,69.658
2809.961,70.705
2810.085,71.643
2810.209,72.73
2810.334,72.688
2810.458,70.419
2810.582,67.412
2810.706,66.54
2810.83,68.13
2810.955,69.882
2811.079,70.055
2811.203,68.955
2811.327,67.462
2811.451,66.459
2811.576,66.512
2811.7,67.433
2811.824,68.108
2811.948,67.683
2812.073,66.706
2812.197,66.468
2812.321,67.312
2812.445,68.533
2812.569,69.037
2812.693,68.853
2812.818,69.371
2812.942,71.382
2813.066,73.93
2813.19,75.078
2813.314,73.43
2813.439,69.158
2813.563,64.353
2813.687,61.927
2813.811,63.496
2813.936,67.842
2814.06,72.295
2814.184,74.875
2814.308,75.475
2814.432,75.34
2814.557,75.49
2814.681,74.611
2814.805,71.293
2814.929,67.426
2815.053,66.73
2815.177,69.992
2815.302,73.728
2815.426,74.588
2815.55,72.97
2815.674,71.526
2815.799,70.942
2815.923,69.6
2816.047,66.845
2816.171,64.496
2816.295,64.527
2816.42,66.127
2816.544,67.604
2816.668,69.067
2816.792,70.925
2816.916,72.005
2817.041,71.035
2817.165,68.968
2817.289,68.16
2817.413,69.208
2817.537,70.743
2817.662,71.829
2817.786,72.718
2817.91,73.25
2818.034,72.623
2818.158,71.053
2818.283,70.042
2818.407,70.358
2818.531,71.027
2818.655,70.765
2818.78,69.348
2818.904,67.421
2819.028,65.685
2819.152,64.777
2819.276,65.31
2819.4,67.331
2819.525,70.155
2819.649,72.641
2819.773,74.07
2819.897,74.863
2820.021,75.833
2820.146,76.636
2820.27,76.303
2820.394,74.739
2820.518,72.816
2820.643,71.192
2820.767,69.297
2820.891,66.28
2821.015,62.951
2821.139,61.392
2821.263,62.355
2821.387,64.438
2821.511,65.88
2821.636,66.536
2821.76,67.278
2821.884,68.278
2822.008,68.567
2822.132,67.343
2822.256,65.325
2822.381,64.007
2822.505,63.361
2822.629,61.665
2822.753,58.237
2822.877,54.477
2823.001,52.074
2823.125,52.175
2823.25,55.185
2823.374,59.7
2823.498,62.969
2823.622,63.962
2823.746,64.218
2823.87,65.479
2823.994,67.414
2824.118,69.219
2824.242,70.762
2824.367,71.865
2824.491,72.278
2824.615,71.995
2824.739,71.132
2824.863,69.866
2824.987,68.814
2825.112,69.021
2825.236,70.58
2825.36,72.192
2825.484,72.991
2825.608,73.338
2825.732,73.59
2825.856,73.554
2825.98,73.126
2826.104,72.687
2826.229,72.14
2826.353,70.541
2826.477,68.037
2826.601,66.252
2826.725,66.189
2826.849,67.399
2826.974,68.785
2827.098,70.102
2827.222,71.438
2827.346,72.146
2827.47,71.213
2827.594,68.207
2827.718,63.801
2827.843,60.04
2827.967,58.709
2828.091,59.821
2828.215,62.109
2828.339,64.151
2828.463,65.555
2828.587,66.096
2828.711,65.568
2828.835,64.329
2828.96,63.162
2829.084,62.622
2829.208,62.558
2829.332,63.155
2829.456,65.607
2829.58,70.242
2829.705,75.365
2829.829,78.372
2829.953,78.159
2830.077,76.071
2830.201,73.605
2830.325,71.288
2830.449,69.595
2830.573,69.934
2830.698,73.06
2830.822,77.291
2830.946,80.021
2831.07,80.595
2831.194,80.287
2831.318,80.003
2831.442,80.265
2831.567,81.027
2831.691,81.025
2831.815,79.226
2831.939,76.319
2832.063,73.139
2832.187,69.798
2832.311,67.093
2832.436,66.248
2832.56,66.728
2832.684,66.716
2832.808,66.089
2832.932,66.612
2833.056,68.108
2833.18,68.333
2833.304,66.278
2833.428,63.171
2833.553,60.906
2833.677,60.251
2833.801,60.884
2833.925,62.023
2834.049,62.727
2834.173,62.857
2834.298,63.868
2834.422,66.525
2834.546,70.099
2834.67,73.336
2834.794,75.053
2834.918,75.121
2835.042,74.423
2835.167,74.156
2835.291,74.721
2835.415,75.285
2835.539,75.222
2835.663,74.145
2835.787,71.262
2835.911,67.165
2836.035,64.21
2836.16,63.905
2836.284,65.546
2836.408,67.922
2836.532,70.393
2836.656,72.236
2836.78,72.643
2836.904,71.81
2837.029,70.838
2837.153,71.044
2837.277,73.21
2837.401,76.776
2837.525,80.073
2837.649,81.422
2837.773,80.57
2837.897,78.672
2838.021,77.354
2838.146,77.601
2838.27,78.771
2838.394,79.267
2838.518,79.024
2838.642,79.022
2838.766,79.164
2838.891,77.891
2839.015,74.196
2839.139,69.629
2839.263,67.045
2839.387,67.71
2839.511,71.08
2839.635,75.79
2839.76,80.038
2839.884,82.211
2840.008,82.063
2840.132,81.284
2840.256,81.19
2840.38,81.423
2840.504,81.454
2840.628,82.158
2840.753,84.462
2840.877,87.795
2841.001,90.385
2841.125,90.621
2841.249,87.718
2841.373,81.429
2841.497,72.156
2841.622,61.871
2841.746,54.164
2841.87,52.144
2841.994,56.252
2842.118,63.575
2842.242,70.379
2842.366,75.174
2842.49,78.866
2842.615,82.191
2842.739,84.201
2842.863,83.524
2842.987,80.3
2843.111,76.511
2843.235,74.693
2843.359,75.765
2843.484,77.874
2843.608,78.269
2843.732,77.11
2843.856,76.805
2843.98,77.858
2844.104,78.475
2844.228,77.898
2844.353,77.447
2844.477,77.283
2844.601,75.604
2844.725,72.455
2844.849,70.412
2844.973,70.35
2845.097,69.904
2845.221,67.558
2845.346,65.461
2845.47,66.541
2845.594,70.906
2845.718,75.732
2845.842,78.25
2845.966,77.916
2846.091,76.194
2846.215,74.424
2846.339,72.254
2846.463,69.314
2846.587,66.747
2846.711,65.916
2846.836,66.614
2846.96,67.807
2847.084,69.498
2847.208,72.032
2847.332,74.986
2847.457,77.731
2847.581,79.562
2847.705,79.556
2847.829,77.527
2847.953,75.275
2848.077,75.037
2848.202,76.255
2848.326,76.786
2848.45,76.093
2848.574,75.586
2848.698,76.93
